,producto,url,precio
31,Yerba Mate 4 Flex Sin Pal Taragui Paq 1 Kgm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-4-flex-sin-pal-taragui-paq-1-kgm/_/A-00507766-00507766-200,605.90
32,Yerba Mate C/Hierb Compuesta Cachamate Paq 1 . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-c-hierb-compuesta-cachamate-paq-1-kgm/_/A-00512443-00512443-200,451.90
33,Yerba Mate La Cumbrecita Naranja Paquete 500 . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-la-cumbrecita-naranja-paquete-500-gr/_/A-00457543-00457543-200,202.50
34,Yerba Mate Hierbas Serran Cbse Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-hierbas-serran-cbse-paq-500-grm/_/A-00512967-00512967-200,255.90
35,Repuesto Termo 1 Litro Ced LUMILAGRO,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-repuesto-termo-1-litro-ced-lumilagro/_/A-00248207-00248207-200,899.90
36,Yerba Mate CACHAMATE Mezcla De Hierbas Paque . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cachamate-mezcla-de-hierbas-paquete-500-gr/_/A-00011718-00011718-200,239.90
37,Yerba Mate Manzanilla Cruz De Mal Paq 500 Gr . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-manzanilla-cruz-de-mal-paq-500-grm/_/A-00488013-00488013-200,210.45
38,Yerba Mate C/Hierb Aromaticas Cachamate Paq  . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-c-hierb-aromaticas-cachamate-paq-500-grm/_/A-00512452-00512452-200,239.90
39,Yerba Mate 4 Flex Sin Pal Taragui Paq 500 Gr . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-4-flex-sin-pal-taragui-paq-500-grm/_/A-00507761-00507761-200,312.85
40,Yerba Mate Selecc.Especia Cachamate Paq 500  . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-seleccespecia-cachamate-paq-500-grm/_/A-00195821-00195821-200,273.15
41,Filtro Para Bombilla Marwal,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-filtro-para-bombilla-marwal-/_/A-00471946-00471946-200,99.99
42,Yerba Mate Naranja Cbse Paq 500 Grm,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-naranja-cbse-paq-500-grm/_/A-00512964-00512964-200,255.90
43,Termo Personal Rojo 1l . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-termo-personal-rojo-1l---/_/A-00479846-00479846-200,999.90
44,Yerba Mate La Cumbrecita Hierbas Naturales P . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-la-cumbrecita-hierbas-naturales-paquete-500-gr/_/A-00034428-00034428-200,226.59
45,Yerba Mate Con Palo YEMAYPE 500 Gr,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-con-palo-yemaype-500-gr/_/A-00502065-00502065-200,301.15
46,Yerba Mate CACHAMATE Mezcla De Hierbas Paque . . .,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-cachamate-mezcla-de-hierbas-paquete-500-gr/_/A-00123983-00123983-200,225.49
47,Mate De Diseño Marwal,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mate-de-diseno-marwal-/_/A-00471953-00471953-200,429.99
